0		30		-nan		-nan
1		30.3933		0.63348		0.162422
2		30.6933		0.810557		0.208624
3		31.0733		0.976892		0.198086
4		31.6267		1.09634		0.231352
5		32.24		1.32442		0.368006
6		33.1867		1.61946		0.401545
7		34.14		1.83928		0.385079
8		35.46		2.11936		0.477793
9		37.0267		2.26424		0.579984
10		38.7733		2.55712		0.721572
11		40.6267		2.74301		0.92309
12		42.5133		2.81591		0.997043
13		44.4667		2.82051		1.00971
14		46.4		2.76847		0.761577
15		48.18		2.46878		0.606159
16		49.5267		2.22764		0.65734
17		50.9		2.07494		0.64365
18		51.8667		1.88838		0.523268
19		52.7133		1.72754		0.550151
20		53.2667		1.64119		0.530049
21		53.8267		1.59591		0.556092
22		54.2467		1.58828		0.586596
23		54.66		1.59205		0.56163
24		54.98		1.72806		0.541427
25		55.3867		1.74474		0.51251
26		55.8667		1.83064		0.436981
27		56.3333		1.98541		0.457738
28		57.1533		2.11335		0.547549
29		58.0733		2.29706		0.683966
30		59.2933		2.48633		0.688131
31		60.64		2.78124		0.89666
32		62.2733		2.88225		1.01943
33		64.3067		3.29927		1.1247
34		66.4667		3.47313		1.05266
35		68.9267		3.62522		1.03473
36		71.3867		3.81939		0.983337
37		74.0333		4.09848		1.30256
38		76.3067		4.04828		1.37657
39		78.7333		3.84894		1.36887
40		81.2533		3.78479		1.55144
41		83.38		3.71767		1.62972
42		85.2133		3.72834		1.69447
43		86.7667		3.55289		1.50649
44		88.34		3.6043		1.41714
45		89.6467		3.57684		1.37106
46		90.8067		3.44213		1.26912
47		91.86		3.27699		1.29273
48		92.8867		3.33888		1.29828
49		93.86		3.41931		1.33352
50		94.76		3.49243		1.34738
51		95.9		3.63383		1.32665
52		97.2067		3.77255		1.45429
53		98.6133		4.0761		1.59771
54		100.713		4.40003		1.73323
55		102.84		4.65462		1.76506
56		105.353		5.05292		1.89506
57		108.24		5.41274		1.99814
58		111.38		5.62314		1.78133
59		114.56		5.56412		1.52212
60		118.293		6.09494		1.98439
61		122.12		6.09205		1.999
62		126.08		6.3937		2.16768
63		129.967		6.276		2.35301
64		133.933		6.45653		2.64026
65		137.72		6.57953		2.65739
66		141.193		6.76022		2.84265
67		144.473		6.64911		2.72435
68		147.32		6.38929		2.67427
69		150.247		6.3128		2.51563
70		152.673		6.37476		2.42795
71		154.96		6.2066		2.26678
72		157.233		6.08818		2.20476
73		159.447		6.07839		2.38234
74		161.58		6.04932		2.28573
75		163.927		6.17214		2.47458
76		166.307		6.53945		2.27799
77		169.26		7.01047		2.41004
78		172.36		7.46651		2.38711
79		175.447		8.04062		2.45615
80		179.533		8.40315		2.56895
81		183.787		8.70361		2.70683
82		188.673		9.25224		2.74811
83		194.12		9.77115		2.66571
84		199.947		10.1564		2.78923
85		205.953		10.3206		3.252
86		212.027		10.6733		3.74079
87		218.347		10.9022		3.83608
88		224.687		11.1573		4.00265
89		231.173		11.0148		3.95573
90		237.147		10.9117		3.91004
91		242.74		11.1436		4.11197
92		248.413		11.2053		4.06692
93		253.713		11.0425		4.20728
94		258.993		11.0911		4.09938
95		263.64		10.9858		4.16221
96		268.02		11.1911		4.31032

#-------------------------------------
#Time(h.) 	 Averaged n. of cells 	 deviation 	 Batch deviation
#Averaged=150 times.
#Batches=15 times.
